indicator,País__ESTANDAR,Años__ESTANDAR,value,unit,notes_ids,source_id
Tasa de migración,Bolivia (Estado Plurinacional de),1950,-2.39,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1951,-2.00,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1952,-1.64,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1953,-1.34,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1954,-1.09,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1955,-0.89,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1956,-0.70,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1957,-0.68,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1958,-0.67,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1959,-0.74,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1960,-0.85,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1961,-0.96,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1962,-1.04,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1963,-1.07,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1964,-1.08,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1965,-1.08,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1966,-1.07,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1967,-1.07,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1968,-1.07,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1969,-1.07,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1970,-1.07,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1971,-1.08,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1972,-1.09,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1973,-1.11,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1974,-1.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1975,-1.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1976,-1.34,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1977,-1.43,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1978,-1.54,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1979,-1.76,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1980,-2.04,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1981,-2.29,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1982,-2.42,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1983,-2.51,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1984,-2.65,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1985,-2.74,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1986,-2.79,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1987,-2.83,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1988,-2.86,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1989,-2.97,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1990,-3.07,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1991,-3.29,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1992,-3.37,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1993,-3.54,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1994,-3.57,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1995,-3.58,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1996,-3.58,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1997,-3.50,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1998,-3.41,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),1999,-3.32,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2000,-3.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2001,-2.79,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2002,-2.49,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2003,-2.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2004,-1.89,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2005,-1.67,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2006,-1.48,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2007,-1.41,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2008,-1.36,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2009,-1.30,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2010,-1.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2011,-1.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2012,-1.11,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2013,-1.06,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2014,-1.01,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2015,-0.96,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2016,-0.90,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2017,-0.85,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2018,-0.81,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2019,-0.77,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2020,-0.40,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2021,-0.39,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2022,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2023,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2024,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2025,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2026,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2027,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2028,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2029,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2030,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2031,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2032,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2033,-0.26,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2034,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2035,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2036,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2037,-0.25,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2038,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2039,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2040,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2041,-0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2042,-0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2043,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2044,-0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2045,-0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2046,-0.21,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2047,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2048,-0.20,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2049,-0.21,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2050,-0.21,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2051,-0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2052,-0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2053,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2054,-0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2055,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2056,-0.21,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2057,-0.20,Tasa por 1.000 habitantes,,6547
