Lat,Lon,NDVI,Estación,Tipo,Fecha,Distrito
-11.9,-77.04,0.1067,Chimpu Ocllo,Parque Entrada,2026-06-13,Carabayllo
-11.9,-77.04,0.2094,Chimpu Ocllo,Parque Entrada,2026-06-13,Carabayllo
-11.9,-77.04,0.1653,Chimpu Ocllo,Parque Entrada,2026-06-13,Carabayllo
-11.9,-77.04,0.055,Chimpu Ocllo,Franja verde,2026-06-13,Carabayllo
-11.9,-77.04,0.0658,Chimpu Ocllo,Franja Verde,2026-06-13,Carabayllo
-11.9,-77.04,0.2017,Chimpu Ocllo,Franja Verde,2026-06-13,Carabayllo
-11.98,-77.06,0.0516,Naranjal,Parque Entrada,2026-06-13,Independencia
-11.98,-77.06,0.4819,Naranjal,Parque Entrada,2026-06-13,Independencia
-11.98,-77.06,0.0839,Naranjal,Parque Entrada,2026-06-13,Independencia
-11.99,-77.06,0.1493,Naranjal,Franja Verde,2026-06-13,Independencia
-11.99,-77.06,0.1199,Naranjal,Franja Verde,2026-06-13,Independencia
-11.99,-77.06,0.1256,Naranjal,Franja Verde,2026-06-13,Independencia
-12.06,-77.04,0.33,Central,Parque Entrada,2026-06-13,Cercado de Lima
-12.06,-77.04,0.6497,Central,Parque Entrada,2026-06-13,Cercado de Lima
-12.06,-77.04,0.5296,Central,Parque Entrada,2026-06-13,Cercado de Lima
-12.06,-77.04,0.1084,Central,Franja Verde,2026-06-13,Cercado de Lima
-12.06,-77.04,0.0898,Central,Franja Verde,2026-06-13,Cercado de Lima
-12.06,-77.04,0.026,Central,Franja Verde,2026-06-13,Cercado de Lima
-12.09,-77.02,0.646,Javier Prado,Parque Entrada,2026-06-13,San Isidro
-12.09,-77.02,0.662,Javier Prado,Parque Entrada,2026-06-13,San Isidro
-12.09,-77.02,0.6535,Javier Prado,Parque Entrada,2026-06-13,San Isidro
-12.09,-77.02,0.2387,Javier Prado,Franja Verde,2026-06-13,San Isidro
-12.09,-77.02,0.2299,Javier Prado,Franja Verde,2026-06-13,San Isidro
-12.09,-77.02,0.1848,Javier Prado,Franja Verde,2026-06-13,San Isidro
-12.14,-77.02,0.5095,Plaza Flores,Parque Entrada,2026-06-13,Barranco/Miraflores
-12.14,-77.02,0.2288,Plaza Flores,Parque Entrada,2026-06-13,Barranco/Miraflores
-12.14,-77.02,0.1341,Plaza Flores,Parque Entrada,2026-06-13,Barranco/Miraflores
-12.14,-77.02,0.0882,Plaza Flores,Franja Verde,2026-06-13,Barranco/Miraflores
-12.14,-77.02,0.1273,Plaza Flores,Franja Verde,2026-06-13,Barranco/Miraflores
-12.14,-77.02,0.1486,Plaza Flores,Franja Verde,2026-06-13,Barranco/Miraflores
-12.18,-77.01,0.2825,Matellini,Parque Entrada,2026-06-13,Chorrillos
-12.18,-77.01,0.384,Matellini,Parque Entrada,2026-06-13,Chorrillos
-12.18,-77.01,0.1672,Matellini,Parque Entrada,2026-06-13,Chorrillos
-12.18,-77.01,0.3884,Matellini,Franja Verde,2026-06-13,Chorrillos
-12.18,-77.01,0.4403,Matellini,Franja Verde,2026-06-13,Chorrillos
-12.18,-77.01,0.4511,Matellini,Franja Verde,2026-06-13,Chorrillos
