Model,JarID,Time,Label,treatment,WHC,Temperature,Date,WET_UP_stage,finalC02flux_gSoil_hr,WET_UP_stage_correct
16-July-2024 (Day 1)/TG10-01136-2024-07-16T151100_01,1,15H 11M 0S,25-90,90-25,90,25,2024-07-16,NA,0.153976472560747,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T151600_02,2,15H 16M 0S,25-90,90-25,90,25,2024-07-16,NA,0.232792767273279,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T152100_03,3,15H 21M 0S,25-90,90-25,90,25,2024-07-16,NA,0.122631096330839,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T152400_04,4,15H 24M 0S,25-90,90-25,90,25,2024-07-16,NA,0.220662975171287,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T153100_05,5,15H 31M 0S,25-90,90-25,90,25,2024-07-16,NA,0.279856231517714,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T153600_06,6,15H 36M 0S,25-90,90-25,90,25,2024-07-16,NA,0.703822011932335,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154100_07,7,15H 41M 0S,25-50,50-25,50,25,2024-07-16,NA,0.644139847711393,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154500_08,8,15H 45M 0S,25-50,50-25,50,25,2024-07-16,NA,0.478860503540088,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154900_09,9,15H 49M 0S,25-50,50-25,50,25,2024-07-16,NA,0.50766878943452,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T155300_10,10,15H 53M 0S,25-50,50-25,50,25,2024-07-16,NA,0.66771073019032,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T155700_11,11,15H 57M 0S,25-50,50-25,50,25,2024-07-16,NA,0.599114173950792,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T161700_12,12,16H 17M 0S,25-50,50-25,50,25,2024-07-16,NA,0.232988825184684,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T162200_13,13,16H 22M 0S,25-20,20-25,20,25,2024-07-16,NA,0.167549667239051,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T162700_14,14,16H 27M 0S,25-20,20-25,20,25,2024-07-16,NA,0.18554904203383699,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T163200_15,15,16H 32M 0S,25-20,20-25,20,25,2024-07-16,NA,0.101800820861238,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T163600_16,16,16H 36M 0S,25-20,20-25,20,25,2024-07-16,NA,0.119793945613691,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T164100_17,17,16H 41M 0S,25-20,20-25,20,25,2024-07-16,NA,0.260331631409614,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T164600_18,18,16H 46M 0S,25-20,20-25,20,25,2024-07-16,NA,0.163495122446184,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T165200_19,19,16H 52M 0S,25-90,90-35,90,35,2024-07-16,NA,0.415791482631038,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T165700_20,20,16H 57M 0S,25-90,90-35,90,35,2024-07-16,NA,0.179835200944981,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T170300_21,21,17H 3M 0S,25-90,90-35,90,35,2024-07-16,NA,0.122783920504627,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T170800_22,22,17H 8M 0S,25-90,90-35,90,35,2024-07-16,NA,0.347930000395287,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T171500_23,23,17H 15M 0S,25-90,90-35,90,35,2024-07-16,NA,0.522479972088795,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T172000_24,24,17H 20M 0S,25-90,90-35,90,35,2024-07-16,NA,0.274548917892839,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T172500_25,25,17H 25M 0S,25-50,50-35,50,35,2024-07-16,NA,0.627145704115593,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T173100_26,26,17H 31M 0S,25-50,50-35,50,35,2024-07-16,NA,0.461262483970053,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T173600_27,27,17H 36M 0S,25-50,50-35,50,35,2024-07-16,NA,0.478392674719357,NA
