Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,TIME_CO2_r2,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Label,STAGE_1,STAGE_2,STAGE_3,one_hour,two_min,four_hour,eight_hour,PRE_WET,twenty_four_hour,finalC02_flux,finalC02_flux_byarea,Original dried down (14%) soil wt (g),dry_soil,finalC02flux_gSoil,finalC02flux_gSoil_hr,treatment,Date_corr,Hours
16-July-2024 (Day 1)/TG10-01136-2024-07-16T151100_01,498.50012270695,0.385824156618344,1.26272287225087e-143,0.995855889009108,2024-07-16,151100,1,15H 11M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00271913896293803,9.77755829895014e-5,74.469,63.574,4.27712423779852e-5,0.153976472560747,90-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T151600_02,494.199987883111,0.575279213790275,6.298530618223109e-148,0.997792132888603,2024-07-16,151600,2,15H 16M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00405434470069446,1.4578729596168e-4,73.443,62.698,6.46646575759109e-5,0.232792767273279,90-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T152100_03,527.453183586235,0.304163399268392,3.8879287792853e-152,0.997018851302896,2024-07-16,152100,3,15H 21M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00214362562805649,7.70811085241455e-5,73.713,62.929,3.4064193425233e-5,0.122631096330839,90-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T152400_04,435.379617924401,0.548069726324345,2.35383819521813e-184,0.999143133298689,2024-07-16,152400,4,15H 24M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00386258278983161,1.3889186586952e-4,73.815,63.016,6.12952708809129e-5,0.220662975171287,90-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T153100_05,505.283601273541,0.695697127760465,1.2472633171561498e-200,0.999543572779664,2024-07-16,153100,5,15H 31M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00490300343834826,1.7630361159109e-4,73.879,63.071,7.77378420882538e-5,0.279856231517714,90-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T153600_06,479.531796856794,1.76059508196721,8.234796674009078e-162,0.997949793275435,2024-07-16,153600,6,15H 36M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.0124079910581382,4.461701207529e-4,74.342,63.466,1.9550611442564e-4,0.703822011932335,90-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154100_07,567.436135875898,1.59040680802059,9.815266031585688e-118,0.988713960068253,2024-07-16,154100,7,15H 41M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0112085701333847,4.0304099724504e-4,73.378,62.643,1.7892773547538e-4,0.644139847711393,50-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154500_08,497.30534040103,1.18840299417423,2.6008875294405798e-135,0.994283191235748,2024-07-16,154500,8,15H 45M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00837540322372269,3.0116516446323e-4,73.755,62.965,1.3301680653891e-4,0.478860503540088,50-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154900_09,466.93124880775,1.23892746917762,1.8925671268672597e-133,0.993856086973615,2024-07-16,154900,9,15H 49M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00873148012094921,3.1396908022111e-4,72.528,61.917,1.4101910817625e-4,0.50766878943452,50-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T155300_10,431.41664639725,1.64002476095696,2.51788290414039e-116,0.994871601872216,2024-07-16,155300,10,15H 53M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0115582582147973,4.1561518212144e-4,72.996,62.317,1.8547520283064e-4,0.66771073019032,50-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T155700_11,439.414436072348,1.45840930090773,5.3420604304819895e-123,0.99079390849452,2024-07-16,155700,11,15H 57M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0102783029159375,3.6959018036452e-4,72.345,61.761,1.6642060387522e-4,0.599114173950792,50-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T161700_12,497.212126595313,0.569528370139546,2.94799693487031e-127,0.992192459077305,2024-07-16,161700,12,16H 17M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00401381498586914,1.4432991678781e-4,72.647,62.019,6.47191181068567e-5,0.232988825184684,50-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T162200_13,483.900630944317,0.402697913561847,2.6646621159250798e-87,0.963361320386307,2024-07-16,162200,13,16H 22M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00283805865515837,1.0205173157707e-4,71.429,60.979,4.65415742330699e-5,0.167549667239051,20-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T162700_14,529.430077665628,0.451882366887954,4.3856028894939604e-85,0.960081171773662,2024-07-16,162700,14,16H 27M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00318469159950799,1.145160589539e-4,72.378,61.789,5.15414005649547e-5,0.18554904203383699,20-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T163200_15,505.194063785395,0.246743998103239,1.52098486797823e-90,0.96768211197004,2024-07-16,163200,15,16H 32M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00173895596635051,6.25298801276704e-5,72.034,61.495,2.82780057947884e-5,0.101800820861238,20-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T163600_16,501.385666657634,0.291677638531364,2.4797631578702197e-98,0.976089533720386,2024-07-16,163600,16,16H 36M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00205563083063493,7.39169662220399e-5,72.361,61.775,3.3276096003803e-5,0.119793945613691,20-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T164100_17,522.489674434359,0.632610892832948,1.46683296441092e-78,0.948620759532641,2024-07-16,164100,17,16H 41M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00445839613091582,1.6031629381214e-4,72.218,61.653,7.23143420582262e-5,0.260331631409614,20-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T164600_18,519.539210980897,0.398482014632164,8.620672886927339e-83,0.956377521278785,2024-07-16,164600,18,16H 46M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00280834663519574,1.0098333819474e-4,72.434,61.837,4.54153117906065e-5,0.163495122446184,20-25,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T165200_19,515.727503752879,1.02380326514022,1.7452715921782498e-164,0.998151324295741,2024-07-16,165200,19,16H 52M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00721536819525728,2.5945229037243e-4,73.178,62.472,1.1549763406417e-4,0.415791482631038,90-35,2024-07-16,25
