Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,TIME_CO2_r2,Intercept_CH4,TIME_CH4,TIME_CH4_pvalue,TIME_CH4_r2,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Soil_jar,Area,Label,STAGE_1,STAGE_2,STAGE_3,one_hour,two_min,four_hour,eight_hour,PRE_WET,twenty_four_hour,finalC02_flux,finalCH4_flux,finalC02_flux_byarea,finalCH4_flux_byarea,finalC02flux_gSoil,finalCH4flux_gSoil,finalC02flux_gSoil_hr,finalCH4flux_gSoil_hr
16-July-2024 (Day 1)/TG10-01136-2024-07-16T151100_01,-20590.64828,0.385824157,1.26272287228425e-143,0.995855889,1815.169371,0.002380775,2.31450275334914e-12,0.339728558,7/16/2024,151100,1,15H 11M 0S,28.35,765.9,160,63.574,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.002719139,1.67787782390504e-05,9.7775582989502e-05,6.03336146675672e-07,4.27712429609589e-05,2.63925161843685e-07,0.153976475,0.000950131
16-July-2024 (Day 1)/TG10-01136-2024-07-16T151600_02,-31123.1456,0.575279214,6.29853061915043e-148,0.997792133,2036.769606,-0.001688506,1.13953752084282e-05,0.16129378,7/16/2024,151600,2,15H 16M 0S,28.35,765.9,160,62.698,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.004054345,-1.19E-05,0.000145787,-4.28E-07,6.46646623496762e-05,-1.90E-07,0.232792784,-0.000683275
16-July-2024 (Day 1)/TG10-01136-2024-07-16T152100_03,-16280.61626,0.304163399,3.88792877937237e-152,0.997018851,1868.659731,0.001391546,1.1732129265361e-06,0.18070798,7/16/2024,152100,3,15H 21M 0S,28.35,765.9,160,62.929,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.002143626,9.80707533323831e-06,7.7081108524146e-05,3.52645643050641e-07,3.40641993357593e-05,1.55843495578164e-07,0.122631118,0.000561037
16-July-2024 (Day 1)/TG10-01136-2024-07-16T152400_04,-29949.60601,0.548069726,2.35383819530457e-184,0.999143133,2053.669344,-0.001993836,6.23238072324741e-10,0.27582516,7/16/2024,152400,4,15H 24M 0S,28.35,765.9,160,63.016,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.003862583,-1.41E-05,0.000138892,-5.05E-07,6.12952742160721e-05,-2.24E-07,0.220662987,-0.00080551
16-July-2024 (Day 1)/TG10-01136-2024-07-16T153100_05,-38356.35796,0.695697128,1.24726331714786e-200,0.999543573,2294.700843,-0.006245766,1.2384066891901e-41,0.785845651,7/16/2024,153100,5,15H 31M 0S,28.35,765.9,160,63.071,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.004903003,-4.40E-05,0.000176304,-1.58E-06,7.77378351381776e-05,-6.98E-07,0.279856206,-0.002511455
16-July-2024 (Day 1)/TG10-01136-2024-07-16T153600_06,-98395.48801,1.760595082,8.23479667435126e-162,0.997949793,2950.480137,-0.017939981,3.22833408903455e-38,0.755656571,7/16/2024,153600,6,15H 36M 0S,28.35,765.9,160,63.466,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.012407991,-0.000126434,0.00044617,-4.55E-06,0.000195506,-1.99E-06,0.703822009,-0.007171752
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154100_07,-89226.93224,1.590406808,9.81526603252031e-118,0.98871396,1880.903543,0.001534142,0.00013089,0.116129202,7/16/2024,154100,7,15H 41M 0S,28.35,765.9,160,62.643,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.01120857,1.08120355891503e-05,0.000403041,3.88782293748661e-07,0.000178928,1.72597665966673e-07,0.64413984,0.000621352
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154500_08,-66885.14443,1.188402994,2.60088752947104e-135,0.994283191,-572.4617625,0.044654789,5.22294060946126e-71,0.93119219,7/16/2024,154500,8,15H 45M 0S,28.35,765.9,160,62.965,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.008375403,0.00031471,0.000301165,1.13164196293188e-05,0.000133017,4.99817358850155e-06,0.478860491,0.017993425
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154900_09,-70077.59885,1.238927469,1.8925671268976e-133,0.993856087,640.0711987,0.023255318,2.84085517810462e-65,0.914105198,7/16/2024,154900,9,15H 49M 0S,28.35,765.9,160,61.917,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00873148,0.000163894,0.000313969,5.89336413354472e-06,0.000141019,2.64699517095467e-06,0.507668782,0.009529183
16-July-2024 (Day 1)/TG10-01136-2024-07-16T155300_10,-93345.19919,1.640024761,2.51788290531507e-116,0.994871602,-227.7773815,0.038074311,2.07018202285916e-68,0.953430655,7/16/2024,155300,10,15H 53M 0S,28.35,765.9,160,62.317,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.011558258,0.000268333,0.000415615,9.6487944186468e-06,0.000185475,4.30593577996373e-06,0.667710718,0.015501369
