"Model","Intercept_CO2","TIME_CO2","TIME_CO2_pvalue","TIME_CO2_r2","Date","TimeLog","JarID","Time","T.Air","A.Pressure","Volume","Label","STAGE_1","STAGE_2","STAGE_3","one_hour","two_min","four_hour","eight_hour","PRE_WET","twenty_four_hour","finalC02_flux","finalC02_flux_byarea","Original dried down (14%) soil wt (g)","dry_soil","finalC02flux_gSoil","finalC02flux_gSoil_hr"
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T151100_01",498.50012270695,0.385824156618344,1.26272287225087e-143,0.995855889009108,2024-07-16,"151100",1,15H 11M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00271913896293803,9.77755829895014e-05,"74.469",63.574,4.27712423779852e-05,0.153976472560747
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T151600_02",494.199987883111,0.575279213790275,6.29853061822311e-148,0.997792132888603,2024-07-16,"151600",2,15H 16M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00405434470069446,0.000145787295961685,"73.443",62.698,6.46646575759109e-05,0.232792767273279
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T152100_03",527.453183586235,0.304163399268392,3.8879287792853e-152,0.997018851302896,2024-07-16,"152100",3,15H 21M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00214362562805649,7.70811085241455e-05,"73.713",62.929,3.4064193425233e-05,0.122631096330839
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T152400_04",435.379617924401,0.548069726324345,2.35383819521813e-184,0.999143133298689,2024-07-16,"152400",4,15H 24M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00386258278983161,0.000138891865869529,"73.815",63.016,6.12952708809129e-05,0.220662975171287
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T153100_05",505.283601273541,0.695697127760465,1.24726331715615e-200,0.999543572779664,2024-07-16,"153100",5,15H 31M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00490300343834826,0.000176303611591092,"73.879",63.071,7.77378420882538e-05,0.279856231517714
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T153600_06",479.531796856794,1.76059508196721,8.23479667400908e-162,0.997949793275435,2024-07-16,"153600",6,15H 36M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.0124079910581382,0.000446170120752902,"74.342",63.466,0.000195506114425649,0.703822011932335
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T154100_07",567.436135875898,1.59040680802059,9.81526603158569e-118,0.988713960068253,2024-07-16,"154100",7,15H 41M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0112085701333847,0.000403040997245044,"73.378",62.643,0.000178927735475387,0.644139847711393
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T154500_08",497.30534040103,1.18840299417423,2.60088752944058e-135,0.994283191235748,2024-07-16,"154500",8,15H 45M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00837540322372269,0.000301165164463239,"73.755",62.965,0.000133016806538913,0.478860503540088
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T154900_09",466.93124880775,1.23892746917762,1.89256712686726e-133,0.993856086973615,2024-07-16,"154900",9,15H 49M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00873148012094921,0.000313969080221115,"72.528",61.917,0.000141019108176255,0.50766878943452
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T155300_10",431.41664639725,1.64002476095696,2.51788290414039e-116,0.994871601872216,2024-07-16,"155300",10,15H 53M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0115582582147973,0.000415615182121441,"72.996",62.317,0.000185475202830645,0.66771073019032
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T155700_11",439.414436072348,1.45840930090773,5.34206043048199e-123,0.99079390849452,2024-07-16,"155700",11,15H 57M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0102783029159375,0.000369590180364526,"72.345",61.761,0.00016642060387522,0.599114173950792
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T161700_12",497.212126595313,0.569528370139546,2.94799693487031e-127,0.992192459077305,2024-07-16,"161700",12,16H 17M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00401381498586914,0.000144329916787815,"72.647",62.019,6.47191181068567e-05,0.232988825184684
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T162200_13",483.900630944317,0.402697913561847,2.66466211592508e-87,0.963361320386307,2024-07-16,"162200",13,16H 22M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00283805865515837,0.000102051731577072,"71.429",60.979,4.65415742330699e-05,0.167549667239051
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T162700_14",529.430077665628,0.451882366887954,4.38560288949396e-85,0.960081171773662,2024-07-16,"162700",14,16H 27M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00318469159950799,0.000114516058953901,"72.378",61.789,5.15414005649547e-05,0.185549042033837
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T163200_15",505.194063785395,0.246743998103239,1.52098486797823e-90,0.96768211197004,2024-07-16,"163200",15,16H 32M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00173895596635051,6.25298801276704e-05,"72.034",61.495,2.82780057947884e-05,0.101800820861238
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T163600_16",501.385666657634,0.291677638531364,2.47976315787022e-98,0.976089533720386,2024-07-16,"163600",16,16H 36M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00205563083063493,7.39169662220399e-05,"72.361",61.775,3.3276096003803e-05,0.119793945613691
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T164100_17",522.489674434359,0.632610892832948,1.46683296441092e-78,0.948620759532641,2024-07-16,"164100",17,16H 41M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00445839613091582,0.000160316293812147,"72.218",61.653,7.23143420582262e-05,0.260331631409614
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T164600_18",519.539210980897,0.398482014632164,8.62067288692734e-83,0.956377521278785,2024-07-16,"164600",18,16H 46M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00280834663519574,0.000100983338194741,"72.434",61.837,4.54153117906065e-05,0.163495122446184
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T165200_19",515.727503752879,1.02380326514022,1.74527159217825e-164,0.998151324295741,2024-07-16,"165200",19,16H 52M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00721536819525728,0.00025945229037243,"73.178",62.472,0.000115497634064177,0.415791482631038
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T165700_20",520.92204346972,0.442701849342907,8.21476813282887e-167,0.998310541364256,2024-07-16,"165700",20,16H 57M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00311999087372796,0.000112189531597553,"73.160",62.457,4.99542224847169e-05,0.179835200944981
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T170300_21",517.433163968297,0.302979304972227,3.77673129562229e-141,0.995439209790704,2024-07-16,"170300",21,17H 3M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00213528059086463,7.67810352702133e-05,"73.335",62.606,3.41066445846186e-05,0.122783920504627
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T170800_22",505.858224651132,0.784616237637175,6.78180218549173e-145,0.99605462598505,2024-07-16,"170800",22,17H 8M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00552967082572676,0.000198837498228219,"67.020",57.215,9.6647222332024e-05,0.347930000395287
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T171500_23",538.556891410378,1.286934764937,4.96912102064415e-177,0.998862338274143,2024-07-16,"171500",23,17H 15M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00906981691548474,0.00032613509225044,"73.203",62.493,0.000145133325580221,0.522479972088795
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T172000_24",513.672944926162,0.673240685543963,2.42672556235129e-153,0.997154640743123,2024-07-16,"172000",24,17H 20M 0S,28.35,765.9,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00474473914630638,0.000170612698536727,"72.877",62.215,7.62635883035663e-05,0.274548917892839
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T172500_25",449.580524739195,1.53895564964097,1.75538530614062e-112,0.986170414865131,2024-07-16,"172500",25,17H 25M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0108459623312591,0.00039000224132539,"72.928",62.259,0.000174207140032109,0.627145704115593
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T173100_26",528.985295048096,1.12945789865872,4.0862164521385e-124,0.991183141256582,2024-07-16,"173100",26,17H 31M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00795998106017766,0.00028622729450477,"72.772",62.125,0.000128128467769459,0.461262483970053
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T173600_27",514.317541471345,1.16880120579867,2.49675824563231e-124,0.991255833190184,2024-07-16,"173600",27,17H 36M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00823725742439689,0.000296197677971841,"72.610",61.987,0.00013288685408871,0.478392674719357
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T174200_28",558.401902960303,1.64504975613061,2.93288786599527e-113,0.986580061523698,2024-07-16,"174200",28,17H 42M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0115936724311724,0.000416888616726803,"72.627",62.002,0.000186988684738757,0.673159265059525
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T174900_29",517.248985354288,0.687635103644493,1.59801692240526e-138,0.994951287855245,2024-07-16,"174900",29,17H 49M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0048461854203008,0.00017426053291265,"72.817",62.164,7.79580693053987e-05,0.280649049499435
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T175300_30",467.19230821027,1.22834899742582,1.21467072609312e-118,0.989103379038772,2024-07-16,"175300",30,17H 53M 0S,28.35,765.9,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00865692715630138,0.000311288283218316,"73.503",62.75,0.000137958998506795,0.496652394624462
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T180000_31",589.096218236011,0.504947852594501,1.94852182645299e-79,0.950333894102991,2024-07-16,"180000",31,18H 0M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00355867655430343,0.000127963917810264,"71.340",60.903,5.8431876168718e-05,0.210354754207385
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T180400_32",567.24406302669,0.363149309036715,1.20681564508225e-83,0.957794953143271,2024-07-16,"180400",32,18H 4M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00255933543462013,9.20293216332302e-05,"72.029",61.491,4.16213012411594e-05,0.149836684468174
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T180900_33",590.760982421081,0.447625423384364,7.29221621952314e-89,0.96551084492352,2024-07-16,"180900",33,18H 9M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00315469031331303,0.000113437264052967,"73.469",62.72,5.02979960668531e-05,0.181072785840671
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T181400_34",607.671427486862,0.377475026043477,1.33383291488425e-84,0.960419489661877,2024-07-16,"181400",34,18H 14M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00266029752996048,9.56597457734802e-05,"70.889",60.518,4.39587813536548e-05,0.158251612873157
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T181900_35",592.892671746881,0.303755347593583,1.6393213992515e-91,0.969773324065899,2024-07-16,"181900",35,18H 19M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00214074983816922,7.69777000420433e-05,"71.223",60.803,3.52079640506098e-05,0.126748670582195
"16-July-2024 (Day 1)/TG10-01136-2024-07-16T182500_36",602.352374556293,0.280261875084677,4.48242316840229e-93,0.97069627474409,2024-07-16,"182500",36,18H 25M 0S,28.35,765.9,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00197517695897578,7.10239827031924e-05,"68.100",58.137,3.39745249836727e-05,0.122308289941222
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T092600_01",561.644633322043,0.346065011516054,3.84006150896168e-141,0.995437934978576,2024-07-17,"092600",1,9H 26M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00242204461586501,8.70925787797557e-05,"74.469",63.574,3.80980371828893e-05,0.137152933858402
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T093200_02",563.830100135483,0.580385408481236,1.634742012424e-159,0.997759136545841,2024-07-17,"093200",2,9H 32M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00406200946920455,0.000146062907918179,"73.443",62.698,6.47869065872045e-05,0.233232863713936
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T093800_03",595.987633572687,0.481958887684595,5.13515483678488e-140,0.995234716673173,2024-07-17,"093800",3,9H 38M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00337314056648171,0.000121292361254287,"73.713",62.929,5.36023227205535e-05,0.192968361793992
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T094400_04",570.351410073161,0.57032912207018,1.12137093377128e-171,0.998600456223568,2024-07-17,"094400",4,9H 44M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00399162739200237,0.000143532088888974,"73.815",63.016,6.33430778215432e-05,0.228035080157556
