,Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,Intercept_CH4,TIME_CH4,TIME_CH4_pvalue,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Area,STAGE_1,STAGE_2,STAGE_3,PRE_WET,two_min,one_hour,four_hour,eight_hour,tweny_four_hour
1,16-July-2024 (Day 1)/TG10-01136-2024-07-16T151100_01,-20590.64828,0.385824157,1.26272287228425e-143,1815.169371,0.002380775,2.31450275334914e-12,7/16/24,151100,01,15H 11M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
2,16-July-2024 (Day 1)/TG10-01136-2024-07-16T151600_02,-31123.1456,0.575279214,6.29853061915043e-148,2036.769606,-0.001688506,1.13953752084282e-05,7/16/24,151600,02,15H 16M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
3,16-July-2024 (Day 1)/TG10-01136-2024-07-16T152100_03,-16280.61626,0.304163399,3.88792877937237e-152,1868.659731,0.001391546,1.1732129265361e-06,7/16/24,152100,03,15H 21M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
4,16-July-2024 (Day 1)/TG10-01136-2024-07-16T152400_04,-29949.60601,0.548069726,2.35383819530457e-184,2053.669344,-0.001993836,6.23238072324741e-10,7/16/24,152400,04,15H 24M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
5,16-July-2024 (Day 1)/TG10-01136-2024-07-16T153100_05,-38356.35796,0.695697128,1.24726331714786e-200,2294.700843,-0.006245766,1.2384066891901e-41,7/16/24,153100,05,15H 31M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
6,16-July-2024 (Day 1)/TG10-01136-2024-07-16T153600_06,-98395.48801,1.760595082,8.23479667435126e-162,2950.480137,-0.017939981,3.22833408903455e-38,7/16/24,153600,06,15H 36M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
7,16-July-2024 (Day 1)/TG10-01136-2024-07-16T154100_07,-89226.93224,1.590406808,9.81526603252031e-118,1880.903543,0.001534142,0.00013089,7/16/24,154100,07,15H 41M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
8,16-July-2024 (Day 1)/TG10-01136-2024-07-16T154500_08,-66885.14443,1.188402994,2.60088752947104e-135,-572.4617625,0.044654789,5.22294060946126e-71,7/16/24,154500,08,15H 45M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
9,16-July-2024 (Day 1)/TG10-01136-2024-07-16T154900_09,-70077.59885,1.238927469,1.8925671268976e-133,640.0711987,0.023255318,2.84085517810462e-65,7/16/24,154900,09,15H 49M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
10,16-July-2024 (Day 1)/TG10-01136-2024-07-16T155300_10,-93345.19919,1.640024761,2.51788290531507e-116,-227.7773815,0.038074311,2.07018202285916e-68,7/16/24,155300,10,15H 53M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
