"...1","Model","Intercept_CO2","TIME_CO2","TIME_CO2_pvalue","Intercept_CH4","TIME_CH4","TIME_CH4_pvalue","Date","TimeLog","JarID","Time","T.Air","A.Pressure","Volume","Area","Label","STAGE_1","STAGE_2","STAGE_3","PRE_WET","three_min","one_hour","four_hour","eight_hour","tweny_four_hour","TIME_CO2_mol_per_mol_per_s","TIME_CH4_mol_per_mol_per_s","finalC02_flux","finalCH4_flux","finalC02_flux_byarea","finalCH4_flux_byarea"
1,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T151100_01",-20590.64828,0.385824157,1.26272287228425e-143,1815.169371,0.002380775,2.31450275334914e-12,"7/16/24","151100","01","15H 11M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,3.85824157e-07,2.380775e-09,2.51469866652576e-09,1.55172547109274e-11,9.04242598534972e-11,5.57973919846366e-13
2,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T151600_02",-31123.1456,0.575279214,6.29853061915043e-148,2036.769606,-0.001688506,1.13953752084282e-05,"7/16/24","151600","02","15H 16M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,5.75279214e-07,-1.688506e-09,3.7495160582332e-09,-1.10052305165038e-11,1.34826179727911e-10,-3.95729252661049e-13
3,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T152100_03",-16280.61626,0.304163399,3.88792877937237e-152,1868.659731,0.001391546,1.1732129265361e-06,"7/16/24","152100","03","15H 21M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,3.04163399e-07,1.391546e-09,1.98245568607888e-09,9.0697246585554e-12,7.12857132714449e-11,3.2613177484917e-13
4,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T152400_04",-29949.60601,0.548069726,2.35383819530457e-184,2053.669344,-0.001993836,6.23238072324741e-10,"7/16/24","152400","04","15H 24M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,5.48069726e-07,-1.993836e-09,3.57217189263589e-09,-1.29952897958928e-11,1.28449187077882e-10,-4.67288378133507e-13
5,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T153100_05",-38356.35796,0.695697128,1.24726331714786e-200,2294.700843,-0.006245766,1.2384066891901e-41,"7/16/24","153100","05","15H 31M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,6.95697128e-07,-6.245766e-09,4.53436781587369e-09,-4.07082323557877e-11,1.63048105568993e-10,-1.46379835871225e-12
6,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T153600_06",-98395.48801,1.760595082,8.23479667435126e-162,2950.480137,-0.017939981,3.22833408903455e-38,"7/16/24","153600","06","15H 36M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,1.760595082e-06,-1.7939981e-08,1.14750878727306e-08,-1.16927998104062e-10,4.12624518976289e-10,-4.20453067616189e-12
7,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T154100_07",-89226.93224,1.590406808,9.81526603252031e-118,1880.903543,0.001534142,0.00013089,"7/16/24","154100","07","15H 41M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.590406808e-06,1.534142e-09,1.03658462197096e-08,9.99912724920736e-12,3.72738087727781e-10,3.59551501230038e-13
8,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T154500_08",-66885.14443,1.188402994,2.60088752947104e-135,-572.4617625,0.044654789,5.22294060946126e-71,"7/16/24","154500","08","15H 45M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.188402994e-06,4.4654789e-08,7.74569287611252e-09,2.91047971763699e-10,2.78521858184557e-10,1.04655869026861e-11
9,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T154900_09",-70077.59885,1.238927469,1.8925671268976e-133,640.0711987,0.023255318,2.84085517810462e-65,"7/16/24","154900","09","15H 49M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.238927469e-06,2.3255318e-08,8.07499789137473e-09,1.51571943081398e-10,2.90363102890138e-10,5.45026764046739e-12
10,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T155300_10",-93345.19919,1.640024761,2.51788290531507e-116,-227.7773815,0.038074311,2.07018202285916e-68,"7/16/24","155300","10","15H 53M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.640024761e-06,3.8074311e-08,1.06892427670254e-08,2.48158176110748e-10,3.84366874039029e-10,8.92334326180324e-12
11,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T155700_11",-83302.44762,1.458409301,5.34206043100038e-123,529.0582867,0.02474414,5.63073602407922e-66,"7/16/24","155700","11","15H 57M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.458409301e-06,2.474414e-08,9.50552177186112e-09,1.61275686691455e-10,3.41802293126973e-10,5.7991976516165e-12
12,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T161700_12",-32888.54093,0.56952837,2.94799693491992e-127,923.6516975,0.017580477,2.22963529816717e-53,"7/16/24","161700","12","16H 17M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,5.6952837e-07,1.7580477e-08,3.71203359510635e-09,1.14584847181528e-10,1.33478374509398e-10,4.12027497955871e-12
